Date;Prec;Temp;PET;Qobs
2013-01-01;11.9;24.25;5.099953290546472;1.8918918284424373
2013-01-02;0.0;25.85;5.379089035045658;1.8813965688487584
2013-01-03;8.675;26.55;5.501267473644783;1.8709013092550792
2013-01-04;0.2;25.7;5.35313231046111;1.8604060496613992
2013-01-05;16.0;24.5;5.143917029631367;1.8552018961625285
2013-01-06;21.4;25.1;5.248517482607268;1.8525892550790068
2013-01-07;0.95;25.6;5.335626248808218;1.849976613995485
2013-01-08;10.075;25.65;5.344211023152571;1.847363972911964
2013-01-09;0.525;26.85;5.553243658175687;1.8553327313769752
2013-01-10;35.825;23.75;5.0124959149837975;1.8633014898419864
2013-01-11;4.75;25.0;5.230108775195391;1.8844626636568849
2013-01-12;25.525;24.15;5.081540231165712;1.9136762979683968
2013-01-13;18.9;24.15;5.081084555690698;1.9606347629796843
2013-01-14;33.375;23.6;4.984691702927249;2.0075932279909705
2013-01-15;4.25;24.25;5.09736262513762;2.053084063205417
2013-01-16;3.15;25.15;5.253478633075076;2.07441914221219
2013-01-17;3.975;25.85;5.374610923017805;2.0957542212189613
2013-01-18;0.8;26.45;5.478183001906785;2.1116259142212197
2013-01-19;0.65;25.9;5.381332149208662;2.127497607223477
2013-01-20;1.075;25.05;5.232174527261233;2.154379774266366
2013-01-21;32.375;24.45;5.126489151231299;2.1786704288939047
2013-01-22;10.7;25.35;5.281783293360609;2.205766320541761
2013-01-23;23.125;25.55;5.315081689139409;2.2328622121896164
2013-01-24;1.05;25.7;5.339532276130642;2.2522030699774267
2013-01-25;1.85;25.97;5.384693362391912;2.2715439277652365
2013-01-26;46.0;23.9;5.022973822048154;2.2999099774266365
2013-01-27;1.525;25.3;5.264254980617465;2.3227703837471787
2013-01-28;3.325;26.43;5.458299280140628;2.3083256884875847
2013-01-29;50.575;25.55;5.303100449833063;2.299597110609481
2013-01-30;2.65;24.4;5.101033602469786;2.2923361625282173
2013-01-31;14.725;24.05;5.037734599100997;2.3092309706546272
2013-02-01;16.325;23.8;4.991666304190432;2.3261257787810385
2013-02-02;30.225;24.55;5.118699178569908;2.3557449209932275
2013-02-03;10.625;24.3;5.072283302424507;2.389783205417607
2013-02-04;0.0;24.3;5.068990748536286;2.412811015801354
2013-02-05;3.25;24.85;5.160597534222413;2.4212901128668167
2013-02-06;13.55;24.45;5.087753463325671;2.426963972911964
2013-02-07;21.0;24.3;5.057971322230396;2.429790338600452
2013-02-08;14.9;22.7;4.777920595626888;2.435506455981941
