Date;P;T;IRA;IRI;Q_obs;f_cpmax_Ric;f_sfmax_Ric;f_roots_Ric;f_cpmax_Soy;f_sfmax_Soy;f_roots_Soy
2013-01-01;11.9;24.25;0.0;0.0;1.892;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-02;0.0;25.85;0.0;0.0;1.881;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-03;8.675;26.55;0.0;0.0;1.871;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-04;0.2;25.7;0.0;0.0;1.86;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-05;16.0;24.5;0.0;0.0;1.855;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-06;21.4;25.1;0.0;0.0;1.853;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-07;0.95;25.6;0.0;0.0;1.85;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-08;10.075;25.65;0.0;0.0;1.847;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-09;0.525;26.85;0.0;0.0;1.855;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-10;35.825;23.75;0.0;0.0;1.863;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-11;4.75;25.0;0.0;0.0;1.884;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-12;25.525;24.15;0.0;0.0;1.914;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-13;18.9;24.15;0.0;0.0;1.961;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-14;33.375;23.6;0.0;0.0;2.008;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-15;4.25;24.25;0.0;0.0;2.053;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-16;3.15;25.15;0.0;0.0;2.074;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-17;3.975;25.85;0.0;0.0;2.096;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-18;0.8;26.45;0.0;0.0;2.112;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-19;0.65;25.9;0.0;0.0;2.127;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-20;1.075;25.05;0.0;0.0;2.154;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-21;32.375;24.45;0.0;0.0;2.179;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-22;10.7;25.35;0.0;0.0;2.206;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-23;23.125;25.55;0.0;0.0;2.233;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-24;1.05;25.7;0.0;0.0;2.252;0.2;0.2;0.2;0.2;0.2;0.2
2013-01-25;1.85;25.97;0.0;0.0;2.272;0.2;0.2;0.2;0.2;0.2;0.2
